scientific_name,title,author,license,original_url,card_url
Erythronium americanum,Erythronium americanum - Liliaceae,Kerry D Woods,CC BY-NC-ND 2.0,https://www.flickr.com/photos/93854456@N03/51154368383,https://live.staticflickr.com/65535/51154368383_228c0e6726_z.jpg
Eupatorium fistulosum,Shenandoah NP | 17.07.24 | 0031 Eupatorium fistulosum,Kaemat,CC BY-NC-SA 2.0,https://www.flickr.com/photos/66898813@N06/51341289437,https://live.staticflickr.com/65535/51341289437_575d9edb5f_z.jpg
Eupatorium maculatum,Eutrochium maculatum - Asteraceae,Kerry D Woods,CC BY-NC-ND 2.0,https://www.flickr.com/photos/93854456@N03/30552994993,https://live.staticflickr.com/5470/30552994993_657731d330_z.jpg
Eupatorium perfoliatum,"Planted meadow patch with Eupatorium perfoliatum (common boneset), Sorghastrum nutans (Indian grass), and placed rock",tgpotterfield,CC BY-NC-SA 2.0,https://www.flickr.com/photos/55770627@N04/22723158930,https://live.staticflickr.com/677/22723158930_14c604df60_z.jpg
Eupatorium purpureum,Eupatorium purpureum,M. Martin Vicente,CC BY 2.0,https://www.flickr.com/photos/32179778@N00/49668534143,https://live.staticflickr.com/65535/49668534143_295ba71b7c_z.jpg
Eupatorium rugosum,Eupatorium rugosum 'Chocolate' 23W40 white snakeroot S4-,F. D. Richards,CC BY-SA 2.0,https://www.flickr.com/photos/50697352@N00/53239452896,https://live.staticflickr.com/65535/53239452896_babebf5656_z.jpg
Euphorbia corollata,Euphorbia corollata,peganum,CC BY-SA 2.0,https://www.flickr.com/photos/26698606@N03/52278244241,https://live.staticflickr.com/65535/52278244241_4b603e5896_z.jpg
Euphorbia cyathophora,euphorbia cyathophora,Taylor,CC BY-NC 4.0,https://www.inaturalist.org/observations/61454982,https://inaturalist-open-data.s3.amazonaws.com/photos/98345201/medium.jpeg
Euthamia caroliniana,euthamia caroliniana,Alexandra Hemme,CC BY-NC 4.0,https://www.inaturalist.org/observations/101479268,https://inaturalist-open-data.s3.amazonaws.com/photos/169482673/medium.jpg
Eutrochium fistulosum,eutrochium fistulosum,tylernoonan,CC BY-NC 4.0,https://www.inaturalist.org/observations/290046567,https://inaturalist-open-data.s3.amazonaws.com/photos/521738560/medium.jpg
Eutrochium maculatum,Not Your Average Joe (Eutrochium maculatum),wackybadger,CC BY-SA 2.0,https://www.flickr.com/photos/8584048@N05/22663274188,https://live.staticflickr.com/653/22663274188_ff8ee5e055_z.jpg
Eutrochium purpureum,eutrochium purpureum,Juli Ann Elizabeth,CC BY-NC 4.0,https://www.inaturalist.org/observations/29896843,https://inaturalist-open-data.s3.amazonaws.com/photos/46683950/medium.jpeg
Eutrochium steelei,eutrochium steelei,Ann Prince,CC BY 4.0,https://www.inaturalist.org/observations/60075744,https://inaturalist-open-data.s3.amazonaws.com/photos/96037321/medium.jpg
Fagus grandifolia,fagus grandifolia,Misha Zitser,CC BY-NC 4.0,https://www.inaturalist.org/observations/203488404,https://inaturalist-open-data.s3.amazonaws.com/photos/359536590/medium.jpg
Festuca californica,festuca californica,jrpierce72,CC BY-NC 4.0,https://www.inaturalist.org/observations/45980981,https://inaturalist-open-data.s3.amazonaws.com/photos/72927442/medium.jpg
Fouquieria splendens,fouquieria splendens,Zachary Nielsen,CC BY-NC 4.0,https://www.inaturalist.org/observations/250478308,https://inaturalist-open-data.s3.amazonaws.com/photos/447979806/medium.jpeg
Fraxinus americana,fraxinus americana,William Van Hemessen,CC BY-NC 4.0,https://www.inaturalist.org/observations/101540724,https://inaturalist-open-data.s3.amazonaws.com/photos/169588713/medium.jpeg
Fraxinus nigra,ECS silv black ash 130821 site2 WFn53 (4),esagor,CC BY-NC 2.0,https://www.flickr.com/photos/7357861@N03/17180713730,https://live.staticflickr.com/7720/17180713730_84c6e9a8ca_z.jpg
Fraxinus pennsylvanica,fraxinus pennsylvanica,Owen Clarkin,CC BY-NC 4.0,https://www.inaturalist.org/observations/9953851,https://inaturalist-open-data.s3.amazonaws.com/photos/13666987/medium.jpeg
Fremontodendron californicum,fremontodendron californicum,smccutch,CC BY-NC 4.0,https://www.inaturalist.org/observations/122211097,https://inaturalist-open-data.s3.amazonaws.com/photos/206892150/medium.jpeg
Gaillardia pulchella,Indian Blanket Gaillardia pulchella,Paul and Jill,CC BY 2.0,https://www.flickr.com/photos/39136124@N00/52339530165,https://live.staticflickr.com/65535/52339530165_2a10416431_z.jpg
