scientific_name,common_name,full_shade,part_shade,full_sun,low_moisture,medium_moisture,high_moisture,bloom,height,width,habits,pollinator_rating,bird_rating,spread_rating,deer_resistance_rating,moisture_source,moisture_source_detail,shade_source,shade_source_detail,habit_source,habit_source_detail,usda_source,wiki_source,wildflower_source
Campanula rotundifolia,,,,,,,,,,,,,,,,,,,,,,,,
Canavalia pubescens,,,,,,,,,,,,,,,,,,,,,,,,
Canavalia rosea,,,,,,,,,,,,,,,,,,,,,,,,
Canna flaccida,,,,,,,,,,,,,,,,,,,,,,,,
Carex amphibola,,,,,,,,,,,,,,,,,,,,,,,,
Carex amplifolia,,,,,,,,,,,,,,,,,,,,,,,,
Carex annectens,,,,,,,,,,,,,,,,,,,,,,,,
Carex appalachica,,,,,,,,,,,,,,,,,,,,,,,,
Carex aquatilis,,,,,,,,,,,,,,,,,,,,,,,,
Carex atlantica,,,,,,,,,,,,,,,,,,,,,,,,
Carex bicknellii,,,,,,,,,,,,,,,,,,,,,,,,
Carex blanda,,,,,,,,,,,,,,,,,,,,,,,,
Carex brevior,,,,,,,,,,,,,,,,,,,,,,,,
Carex cherokeensis,,,,,,,,,,,,,,,,,,,,,,,,
Carex comosa,,,,,,,,,,,,,,,,,,,,,,,,
Carex crinita,,,,,,,,,,,,,,,,,,,,,,,,
Carex debilis,,,,,,,,,,,,,,,,,,,,,,,,
Carex deweyana,,,,,,,,,,,,,,,,,,,,,,,,
Carex filifolia,,,,,,,,,,,,,,,,,,,,,,,,
Carex flaccosperma,,,,,,,,,,,,,,,,,,,,,,,,
Carex glaucodea,,,,,,,,,,,,,,,,,,,,,,,,
Carex grayi,,,,,,,,,,,,,,,,,,,,,,,,
Carex hystericina,,,,,,,,,,,,,,,,,,,,,,,,
Carex lacustris,,,,,,,,,,,,,,,,,,,,,,,,
Carex lupulina,,,,,,,,,,,,,,,,,,,,,,,,
Carex lurida,,,,,,,,,,,,,,,,,,,,,,,,
Carex molesta,,,,,,,,,,,,,,,,,,,,,,,,
Carex muskingumensis,,,,,,,,,,,,,,,,,,,,,,,,
