id,name,url,address,city,state,zip,lat,long
113,Toadshade Wildflower Farm,https://www.toadshade.com/,53 Everittstown Road,Frenchtown,NJ,8825,40.5332731055742,-75.0571618581398
114,"Wild Ridge Plants, LLC",https://wildridgeplants.com/,170 Mountain Road,Alpha,NJ,8865,40.6247826272136,-75.1688400147631
115,Agua Fria Nursery,https://aguafrianursery.com/,1409 Agua Fria Street,Santa Fe,NM,87505,35.679547963781,-105.966414386894
116,Plants of the Southwest,https://plantsofthesouthwest.com/,3095 Agua Fria Road,Santa Fe,NM,87507,35.6544755,-106.0222447
117,Amanda's Native Garden,http://www.amandasnativeplants.com/,8030 Story Rd,Dansville,NY,14437,42.6282948605256,-77.6531985742595
118,Grow Wild!,https://www.growwildnatives.com,245 Speed Hill Rd,Brooktondale,NY,14817,42.3640739,-76.3157908
119,The Fernery,,108 Whitehouse Road,Hartwick,NY,13348,42.6870132,-75.0549346
120,The Plantsmen Nursery,https://www.plantsmen.com/,482 Peruville Rd.,Groton,NY,13073,42.54130395,-76.44980265
121,White Oak Nursery,http://whiteoaknursery.biz/,801 W. Washington St.,Geneva,NY,14456,42.8585805,-77.0130285
122,Wild Things Rescue Nursery,http://dawnswildthings.com,209 Brundige Rd,Valley Falls,NY,12185,42.8834766,-73.5455527
123,Backyard Butterflies,,1507 US Hwy 70A East,Hillsborough,NC,27278,36.060293,-79.068114
124,Carolina Native Nursery,,1639 Prices Creek Rd,Burnsville,NC,28714,35.916393,-82.297733
125,Dearness Gardens Nursery and Landscaping,,13501 South Old Statesville Road,Huntersville,NC,28078,35.4023992873394,-80.8395759561018
126,Elderberry Creek Farm and Nursery,https://www.elderberrycreeknursery.com/,4524 River Ridge Road,Pfafftown,NC,27040,36.169564,-80.420093
127,Mellow Marsh Farm,https://www.mellowmarshfarm.com,1312 Woody Store Rd,Siler City,NC,27344,35.7973328,-79.3431539
128,Saturnia Farm,https://www.saturniafarm.com/,3521 Broad Street,Clyde,NC,28721,35.5336128061429,-82.9076569653981
